experiment_name,dataset,executor_instances,graph_source,executor_cores,executor_memory_gb,executor_memory_overhead_gb,num_hops,phase37_partitions,started_utc,finished_utc,return_code,log_path
phase37-paper-wikics-e16-c2-m16-oh8-20260810T180841Z,wikics,16,phase0,2,16,8,2,512,2026-08-10T18:08:41.064763+00:00,2026-08-10T18:13:37.663540+00:00,1,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e16-c2-m16-oh8-20260810T180841Z.log
phase37-paper-wikics-e16-c2-m16-oh12-20260810T180841Z,wikics,16,phase0,2,16,12,2,512,2026-08-10T18:13:37.663728+00:00,2026-08-10T18:15:46.356610+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e16-c2-m16-oh12-20260810T180841Z.log
phase37-paper-wikics-e16-c2-m24-oh8-20260810T180841Z,wikics,16,phase0,2,24,8,2,512,2026-08-10T18:15:46.356791+00:00,2026-08-10T18:17:54.980643+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e16-c2-m24-oh8-20260810T180841Z.log
phase37-paper-wikics-e16-c2-m24-oh12-20260810T180841Z,wikics,16,phase0,2,24,12,2,512,2026-08-10T18:17:54.980824+00:00,2026-08-10T18:20:03.043315+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e16-c2-m24-oh12-20260810T180841Z.log
phase37-paper-wikics-e16-c4-m16-oh8-20260810T180841Z,wikics,16,phase0,4,16,8,2,512,2026-08-10T18:20:03.043497+00:00,2026-08-10T18:21:37.684418+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e16-c4-m16-oh8-20260810T180841Z.log
phase37-paper-wikics-e16-c4-m16-oh12-20260810T180841Z,wikics,16,phase0,4,16,12,2,512,2026-08-10T18:21:37.684603+00:00,2026-08-10T18:23:12.371966+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e16-c4-m16-oh12-20260810T180841Z.log
phase37-paper-wikics-e16-c4-m24-oh8-20260810T180841Z,wikics,16,phase0,4,24,8,2,512,2026-08-10T18:23:12.372148+00:00,2026-08-10T18:24:48.367358+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e16-c4-m24-oh8-20260810T180841Z.log
phase37-paper-wikics-e16-c4-m24-oh12-20260810T180841Z,wikics,16,phase0,4,24,12,2,512,2026-08-10T18:24:48.367542+00:00,2026-08-10T18:26:26.774355+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e16-c4-m24-oh12-20260810T180841Z.log
phase37-paper-wikics-e32-c2-m16-oh8-20260810T180841Z,wikics,32,phase0,2,16,8,2,1024,2026-08-10T18:26:26.774537+00:00,2026-08-10T18:28:34.578169+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e32-c2-m16-oh8-20260810T180841Z.log
phase37-paper-wikics-e32-c2-m16-oh12-20260810T180841Z,wikics,32,phase0,2,16,12,2,1024,2026-08-10T18:28:34.578359+00:00,2026-08-10T18:30:46.190356+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e32-c2-m16-oh12-20260810T180841Z.log
phase37-paper-wikics-e32-c2-m24-oh8-20260810T180841Z,wikics,32,phase0,2,24,8,2,1024,2026-08-10T18:30:46.190886+00:00,2026-08-10T18:32:58.415844+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e32-c2-m24-oh8-20260810T180841Z.log
phase37-paper-wikics-e32-c2-m24-oh12-20260810T180841Z,wikics,32,phase0,2,24,12,2,1024,2026-08-10T18:32:58.416059+00:00,2026-08-10T18:35:04.947622+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e32-c2-m24-oh12-20260810T180841Z.log
phase37-paper-wikics-e32-c4-m16-oh8-20260810T180841Z,wikics,32,phase0,4,16,8,2,1024,2026-08-10T18:35:04.947807+00:00,2026-08-10T18:36:46.535774+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e32-c4-m16-oh8-20260810T180841Z.log
phase37-paper-wikics-e32-c4-m16-oh12-20260810T180841Z,wikics,32,phase0,4,16,12,2,1024,2026-08-10T18:36:46.535956+00:00,2026-08-10T18:38:29.203069+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e32-c4-m16-oh12-20260810T180841Z.log
phase37-paper-wikics-e32-c4-m24-oh8-20260810T180841Z,wikics,32,phase0,4,24,8,2,1024,2026-08-10T18:38:29.203255+00:00,2026-08-10T18:40:13.688757+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e32-c4-m24-oh8-20260810T180841Z.log
phase37-paper-wikics-e32-c4-m24-oh12-20260810T180841Z,wikics,32,phase0,4,24,12,2,1024,2026-08-10T18:40:13.688947+00:00,2026-08-10T18:41:53.621327+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e32-c4-m24-oh12-20260810T180841Z.log
phase37-paper-wikics-e64-c2-m16-oh8-20260810T180841Z,wikics,64,phase0,2,16,8,2,2048,2026-08-10T18:41:53.621510+00:00,2026-08-10T18:44:15.819086+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c2-m16-oh8-20260810T180841Z.log
phase37-paper-wikics-e64-c2-m16-oh12-20260810T180841Z,wikics,64,phase0,2,16,12,2,2048,2026-08-10T18:44:15.819269+00:00,2026-08-10T18:46:35.793218+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c2-m16-oh12-20260810T180841Z.log
phase37-paper-wikics-e64-c2-m24-oh8-20260810T180841Z,wikics,64,phase0,2,24,8,2,2048,2026-08-10T18:46:35.793403+00:00,2026-08-10T18:49:03.840808+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c2-m24-oh8-20260810T180841Z.log
phase37-paper-wikics-e64-c2-m24-oh12-20260810T180841Z,wikics,64,phase0,2,24,12,2,2048,2026-08-10T18:49:03.840993+00:00,2026-08-10T18:51:34.980515+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c2-m24-oh12-20260810T180841Z.log
phase37-paper-wikics-e64-c4-m16-oh8-20260810T180841Z,wikics,64,phase0,4,16,8,2,2048,2026-08-10T18:51:34.980702+00:00,2026-08-10T18:53:40.246726+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c4-m16-oh8-20260810T180841Z.log
phase37-paper-wikics-e64-c4-m16-oh12-20260810T180841Z,wikics,64,phase0,4,16,12,2,2048,2026-08-10T18:53:40.246909+00:00,2026-08-10T18:55:44.441068+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c4-m16-oh12-20260810T180841Z.log
phase37-paper-wikics-e64-c4-m24-oh8-20260810T180841Z,wikics,64,phase0,4,24,8,2,2048,2026-08-10T18:55:44.441253+00:00,2026-08-10T18:57:48.094433+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c4-m24-oh8-20260810T180841Z.log
